verdict,strategy,timeframe,regime,session,n_trades,avg_r,win_rate,expectancy_R,pct_of_fires,low_confidence
KEEP,bos,1h,range,off,278,0.5660909540486294,0.5251798561151079,0.29729956579532335,0.0038350117257552768,False
KEEP,bos,4h,range,ny,189,0.5700361155016829,0.48677248677248675,0.27747789749288265,0.002607256173265278,False
KEEP,bos,4h,high_vol,ny,299,0.43508935972703944,0.42474916387959866,0.18480384175696993,0.004124706856118085,False
KEEP,bos,4h,range,asia,240,0.40805325754836175,0.44583333333333336,0.18192374399031128,0.0033108014898606706,False
KEEP,bos,4h,unknown,london,11,0.33199610009207176,0.36363636363636365,0.12072585457893519,0.00015174506828528073,True
KEEP,bos,4h,high_vol,london,209,0.26213577589405973,0.3875598086124402,0.1015932911359753,0.002883156297420334,False
KEEP,bos,1h,high_vol,ny,2297,0.11466362198914344,0.3604701784936874,0.04133281628515924,0.03168712925920816,False
KEEP,bos,15m,high_vol,off,862,0.11429008714026366,0.34454756380510443,0.03937837109125094,0.011891295351082907,False
KEEP,bos,15m,trend,london,861,0.10317444957078353,0.3437862950058072,0.03546996175720317,0.011877500344875155,False
KEEP,bos,1h,high_vol,asia,842,0.09792783237764795,0.3586698337292161,0.035123759356353534,0.011615395226927852,False
KEEP,bos,1d,unknown,asia,38,0.09843551514287427,0.34210526315789475,0.03367530781203593,0.0005242102358946061,False
KEEP,bos,15m,range,off,2199,0.08959233039190473,0.3387903592542065,0.030353017799894966,0.030335218650848393,False
KEEP,bos,15m,high_vol,asia,3748,0.08101367496189031,0.3156350053361793,0.025570751728899742,0.05170368326665747,False
KEEP,bos,1h,range,asia,1389,0.06734969356212471,0.3621310295176386,0.024389413867349698,0.01916126362256863,False
KEEP,bos,4h,unknown,asia,15,-1.0349292319476264,0.0,-0.0,0.00020692509311629191,True
KEEP,bos,1d,range,asia,20,-1.0082794891300464,0.0,-0.0,0.00027590012415505585,True
KEEP,bos,15m,trend,ny,1418,-0.009924330988756308,0.31805359661495064,-0.003156469164971153,0.01956131880259346,False
KEEP,bos,15m,high_vol,ny,9108,-0.01768079833077747,0.3011638120333773,-0.005324816625090317,0.12564491654021245,False
KEEP,bos,4h,high_vol,asia,122,-0.02444164986151258,0.30327868852459017,-0.007412631515376766,0.0016829907573458409,False
KEEP,bos,1h,high_vol,off,106,-0.032065095451959666,0.330188679245283,-0.010587531517156494,0.001462270658021796,False
KEEP,bos,15m,range,ny,11235,-0.038234052184589466,0.301646639964397,-0.011533173373704825,0.15498689474410263,False
KEEP,bos,4h,unknown,ny,35,-0.050013252167935084,0.2857142857142857,-0.014289500619410023,0.00048282521727134776,False
KEEP,bos,1h,range,ny,2696,-0.044082379355310786,0.3241839762611276,-0.014290801022456093,0.03719133673610153,False
KEEP,bos,15m,range,asia,13072,-0.05488220875341522,0.29827111383108934,-0.01636977753439152,0.18032832114774452,False
KEEP,bos,15m,trend,off,294,-0.06219177978832212,0.30272108843537415,-0.018826763269253973,0.004055731825079322,False
KEEP,bos,1h,trend,off,287,-0.09587443662549114,0.2961672473867596,-0.02839486799012804,0.003959166781625052,False
KEEP,bos,1h,range,london,1090,-0.10447698486971609,0.3110091743119266,-0.03249330079893005,0.015036556766450545,False
KEEP,bos,15m,range,london,9200,-0.12807492086696282,0.2806521739130435,-0.03594450496505413,0.1269140571113257,False
KEEP,bos,15m,unknown,off,129,-0.14901237566245337,0.24806201550387597,-0.036964310241848895,0.0017795558008001104,False
KEEP,bos,1h,trend,ny,1882,-0.14428406416673376,0.28108395324123275,-0.04055593514569722,0.02596220168299076,False
KEEP,bos,1h,high_vol,london,535,-0.15343951419959723,0.27289719626168224,-0.041873213220824664,0.007380328321147745,False
KEEP,bos,1d,high_vol,asia,14,-0.15066897329168588,0.2857142857142857,-0.043048278083338824,0.0001931300869085391,True
KEEP,bos,1h,trend,asia,1021,-0.15978843688009484,0.2752203721841332,-0.043977033068860576,0.014084701338115601,False
KEEP,bos,15m,high_vol,london,1517,-0.19271987917605887,0.24785761371127224,-0.04776708936730266,0.02092702441716099,False
KEEP,bos,4h,trend,ny,562,-0.24177964130109508,0.23843416370106763,-0.05764852657357072,0.0077527934887570695,False
KEEP,bos,1h,unknown,asia,108,-0.8215860179990939,0.07407407407407407,-0.060858223555488436,0.0014898606704373018,False
KEEP,bos,15m,trend,asia,1203,-0.2878180369800511,0.22360764754779716,-0.06435831417093411,0.01659539246792661,False
KEEP,bos,4h,trend,london,486,-0.28852476913683567,0.22839506172839505,-0.06589763245717851,0.006704373016967857,False
KEEP,bos,4h,range,london,287,-0.31784875853018146,0.21602787456445993,-0.06866419173822735,0.003959166781625052,False
KEEP,bos,1h,unknown,off,22,-0.7741583481287505,0.09090909090909091,-0.07037803164806823,0.00030349013657056146,True
KEEP,bos,1d,trend,asia,98,-0.35635483868434087,0.21428571428571427,-0.07636175114664447,0.0013519106083597738,False
KEEP,bos,15m,unknown,asia,480,-0.7342496139400461,0.10416666666666667,-0.07648433478542147,0.006621602979721341,False
KEEP,bos,4h,trend,asia,380,-0.4636637382402941,0.16578947368421051,-0.07687056712931191,0.0052421023589460615,False
KEEP,bos,1h,unknown,london,20,-0.30875697450788475,0.25,-0.07718924362697119,0.00027590012415505585,True
KEEP,bos,15m,unknown,ny,580,-0.4293686988590339,0.18275862068965518,-0.07847083117078896,0.00800110360049662,False
KEEP,bos,1h,trend,london,672,-0.37626803841518,0.21279761904761904,-0.08006894269846836,0.009270244171609878,False
KEEP,bos,1h,unknown,ny,161,-0.5415953367822502,0.17391304347826086,-0.09419049335343482,0.0022209959994482,False
KEEP,bos,15m,unknown,london,173,-0.47058129554306416,0.2023121387283237,-0.09520430834686269,0.002386536073941233,False
KEEP,cvd_divergence,1h,high_vol,off,13,3.8330691538515587,1.0,3.8330691538515587,0.005034856700232378,True
KEEP,cvd_divergence,15m,unknown,ny,8,2.8000000000000016,1.0,2.8000000000000016,0.003098373353989156,True
KEEP,cvd_divergence,4h,range,london,6,2.2300753949531553,1.0,2.2300753949531553,0.0023237800154918666,True
KEEP,cvd_divergence,1h,unknown,ny,21,2.738478572841069,0.8095238095238095,2.216863606585627,0.008133230054221533,True
KEEP,cvd_divergence,1h,high_vol,ny,20,1.53167814021076,0.55,0.8424229771159181,0.0077459333849728895,True
KEEP,cvd_divergence,15m,high_vol,london,27,1.3106401738274616,0.5925925925925926,0.7766756585644217,0.010457010069713401,True
KEEP,cvd_divergence,1h,trend,ny,19,1.4513211342146057,0.5263157894736842,0.763853228534003,0.007358636715724245,True
KEEP,cvd_divergence,4h,trend,ny,10,1.1359975968495195,0.6,0.6815985581097117,0.0038729666924864447,True
KEEP,cvd_divergence,4h,range,asia,17,1.020782615181319,0.5294117647058824,0.5404143256842278,0.006584043377226956,True
KEEP,cvd_divergence,1h,range,off,27,1.1270868002655197,0.4444444444444444,0.5009274667846754,0.010457010069713401,True
KEEP,cvd_divergence,1h,high_vol,london,19,1.0371172262003554,0.47368421052631576,0.4912660545159578,0.007358636715724245,True
KEEP,cvd_divergence,1h,range,london,40,1.0385113733425135,0.45,0.4673301180041311,0.015491866769945779,False
KEEP,cvd_divergence,15m,high_vol,off,48,0.887018470139715,0.5208333333333334,0.4619887865311016,0.018590240123934933,False
KEEP,cvd_divergence,15m,range,off,52,0.7196792851822392,0.4423076923076923,0.3183196838306058,0.020139426800929512,False
KEEP,cvd_divergence,1h,trend,london,40,0.5069443608137131,0.325,0.16475691726445676,0.015491866769945779,False
KEEP,cvd_divergence,1h,range,asia,166,0.43492678669602125,0.3253012048192771,0.14148220772039244,0.06429124709527498,False
KEEP,cvd_divergence,15m,range,ny,497,0.30104440314779635,0.3460764587525151,0.10418438096865386,0.1924864446165763,False
KEEP,cvd_divergence,1h,range,ny,77,0.2760782630170964,0.2727272727272727,0.07529407173193538,0.029821843532145623,False
KEEP,cvd_divergence,15m,range,asia,406,0.19025562348262312,0.3275862068965517,0.06232511803741102,0.15724244771494966,False
KEEP,cvd_divergence,15m,trend,london,6,-1.1999999999999975,0.0,-0.0,0.0023237800154918666,True
KEEP,cvd_divergence,4h,range,ny,2,-1.0241320575676103,0.0,-0.0,0.000774593338497289,True
KEEP,cvd_divergence,15m,unknown,london,15,-1.0836219935711988,0.0,-0.0,0.005809450038729667,True
KEEP,cvd_divergence,1h,high_vol,asia,15,-1.0571251918527786,0.0,-0.0,0.005809450038729667,True
KEEP,cvd_divergence,4h,high_vol,london,4,-1.0087346723044397,0.0,-0.0,0.001549186676994578,True
KEEP,cvd_divergence,4h,trend,london,1,-1.0123833075734159,0.0,-0.0,0.0003872966692486445,True
KEEP,cvd_divergence,15m,trend,ny,36,-0.020504946647945985,0.25,-0.005126236661986496,0.013942680092951201,False
KEEP,cvd_divergence,15m,high_vol,ny,317,-0.10978108333276672,0.2744479495268139,-0.03012919321751011,0.12277304415182029,False
KEEP,cvd_divergence,15m,trend,off,33,-0.12798284915644703,0.24242424242424243,-0.031026145250047765,0.012780790085205267,False
KEEP,cvd_divergence,15m,high_vol,asia,99,-0.2150247604005804,0.23232323232323232,-0.049955247365791405,0.0383423702556158,False
KEEP,cvd_divergence,1h,trend,asia,82,-0.3932031755980844,0.14634146341463414,-0.05754192813630503,0.031758326878388844,False
KEEP,cvd_divergence,15m,trend,asia,28,-0.3189889087400096,0.25,-0.0797472271850024,0.010844306738962044,True
KEEP,cvd_divergence,15m,range,london,387,-0.552643004442359,0.1524547803617571,-0.0842530678607214,0.1498838109992254,False
KEEP,cvd_divergence,15m,unknown,asia,44,-0.8252787540367437,0.11363636363636363,-0.0937816765950845,0.017041053446940357,False
